iter	RMSE
0	20.74740734
1	20.52915198
2	20.25912011
3	20.0585133
4	19.80509449
5	19.55700383
6	19.35997118
7	19.16669342
8	18.97975609
9	18.74939488
10	18.56907022
11	18.3867959
12	18.24506453
13	18.11537967
14	17.9363375
15	17.70203756
16	17.53002062
17	17.36048523
18	17.19532411
19	16.97594531
20	16.80992905
21	16.64504487
22	16.4383878
23	16.28697506
24	16.08199816
25	15.968958
26	15.82961075
27	15.67494783
28	15.48359426
29	15.33589213
30	15.19602442
31	15.08971214
32	14.89710874
33	14.71676865
34	14.53662413
35	14.40343023
36	14.29232648
37	14.11107207
38	13.98339725
39	13.85104634
40	13.72494617
41	13.59438823
42	13.46198002
43	13.3321375
44	13.21704358
45	13.09204169
46	12.93283249
47	12.83446219
48	12.680193
49	12.5818922
50	12.430468
51	12.2821576
52	12.1775904
53	12.09046803
54	11.97860727
55	11.90131987
56	11.78466547
57	11.69679546
58	11.56184975
59	11.42456716
60	11.32206239
61	11.22790049
62	11.15012709
63	11.05056553
64	10.95146254
65	10.82408392
66	10.72612124
67	10.63385897
68	10.55816194
69	10.4631133
70	10.34353786
71	10.25354532
72	10.13633763
73	10.03635561
74	9.949728934
75	9.865940901
76	9.784525391
77	9.672542467
78	9.588371208
79	9.479980732
80	9.396603855
81	9.319444852
82	9.255118466
83	9.173455954
84	9.093000254
85	8.991150047
86	8.938062405
87	8.878063888
88	8.817627537
89	8.74298108
90	8.665992547
91	8.56997003
92	8.499169059
93	8.418140261
94	8.35047898
95	8.292826068
96	8.226031513
97	8.15717238
98	8.067852352
99	8.013862562
100	7.963028333
101	7.879635043
102	7.816214714
103	7.753903952
104	7.700739326
105	7.632010673
106	7.581522955
107	7.511272005
108	7.449099425
109	7.390331491
110	7.329062088
111	7.272180371
112	7.202386943
113	7.144446697
114	7.08906391
115	7.044330526
116	6.987383799
117	6.942490635
118	6.878414643
119	6.844470815
120	6.803929934
121	6.751942254
122	6.704434811
123	6.635645007
124	6.577412451
125	6.51466979
126	6.455351602
127	6.406697354
128	6.365526596
129	6.307624019
130	6.26776732
131	6.228869808
132	6.172728797
133	6.126037041
134	6.072459441
135	6.011043384
136	5.957318035
137	5.918355698
138	5.863584163
139	5.811938403
140	5.782191447
141	5.730353863
142	5.673546263
143	5.638729731
144	5.581342518
145	5.547951556
146	5.499587134
147	5.465989939
148	5.432929394
149	5.400716095
150	5.366323543
151	5.329453474
152	5.300095806
153	5.266410134
154	5.216259271
155	5.184649523
156	5.147565989
157	5.105449235
158	5.076579696
159	5.045920615
160	5.006976665
161	4.976211263
162	4.951297914
163	4.922539842
164	4.891701733
165	4.848417916
166	4.805746058
167	4.764185615
168	4.728125019
169	4.699856348
170	4.670246492
171	4.643841142
172	4.603811654
173	4.564967162
174	4.525489041
175	4.483211422
176	4.44795271
177	4.408765229
178	4.383335768
179	4.346285587
180	4.309492435
181	4.270163496
182	4.233183357
183	4.19725354
184	4.164006726
185	4.139701048
186	4.110334076
187	4.076679648
188	4.041658962
189	4.007573268
